ID,Level,Category,Has Code Fix,Help Link,Title,Message Format
SS0611,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0611?sort_id=4068043,The discard in the 'var' pattern may not take any effects.,The discard in the 'var' pattern '{0}' may not take any effects.
SS0612,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0612?sort_id=4068075,It doesn't take any effects that all subpatterns use discards in a 'var' deconstruction pattern.,
SS0613,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0613?sort_id=4067865,The discard pattern in this property pattern doesn't judge anything; please remove this clause.,The discard pattern in this property pattern '{0}' doesn't judge anything; please remove this clause.
SS0614,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0614?sort_id=4068077,"The empty-brace property pattern '{ }' will take effects only in nullable types, so we don't suggest you use the pattern to judge non-nullable types; please change the clause to var pattern or other valid patterns, or just remove it".,
SS0615,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0615?sort_id=4068113,"Please use '{ }' instead of '!= null', 'not null' or 'HasValue' in nullable value types".,
SS0616,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0616?sort_id=4068091,Please use '{ }' or 'not null' instead of '!= null' in nullable reference types.,
SS0617,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0617?sort_id=4070575,Unncessary operator 'is' to determine the range of that value of same type.,
SS0618,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0618?sort_id=4070577,Pattern 'not null' is redundant; please remove it.,
SS0619,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0619?sort_id=4070578,Combination constant pattern 'null' and the keyword 'or' is redundant; please remove it.,
SS0620,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0620?sort_id=4070582,Keyword 'not' followed with relation pattern is redundant; please negate the operator directly instead.,
SS0621,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0621?sort_id=4070766,Available simplification for property patterns connected with keyword 'and' to a single property pattern.,
SS0622,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0622?sort_id=4070772,Available simplification for property patterns connected with keyword 'or' to a single property pattern.,
SS0623,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0623?sort_id=4071853,Repeated property path; try to integrate to one using keyword 'and' as the connection.,
SS0624,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0624?sort_id=4071684,Available simplification for extended property patterns.,Available simplification for extended property patterns: '{0}'.
SS0625,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0625?sort_id=4071856,Repeated property path in the extended property pattern; try to integrate to one using keyword 'and' as the connection.,
SS0626,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0626?sort_id=4079250,Keyword 'not' repeats; A pair of keyword 'not' can be omitted.,
SS0701,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0701?sort_id=4053857,The expression can be simplified to using compound null-coalesce operator '??='.,The expression can be simplified to using compound null-coalesce expression '{0} ??= {1}'.
SS0702,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0702?sort_id=4059064,The expression can be simplified to using null-coalescing operator '??'.,The expression can be simplified to using null-coalescing operator: '{0} ?? {1}'.
SS0703,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0703?sort_id=4053883,Unncessary null-conditional operator '?'.,
SS0704,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0704?sort_id=4053867,Unncessary null-forgiving operator '!'.,
SS0705,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS0705?sort_id=4077126,Using compound null-coalesce operator '??=' is unncessary.,"Using compound null-coalesce operator '??=' is unncessary, because the left-side expression '{0}' is not null here".
SS9001,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS9001?sort_id=4042356,Available prepositional iteration condition expression.,
SS9002,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS9002?sort_id=4047679,Redundant array creation statement.,
SS9003,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS9003?sort_id=4067861,Unncessary discards.,
SS9004,,,x,https://gitee.com/SunnieShine/Sudoku/wikis/SS9005?sort_id=4071700,"Due to recursive member in the record type, invoking synthesized method ToString will cause stack overflowing".,
